PANH,TREE,PINE,JUN,TOPL,RCS,HTW,HUO,MEW,WPW,SEP,CHMT,BRKS,LKVW,SWNB,BURN,PR05,GRUT,MULN,SNI,WIW,CTR,RAFT,JCW,CARB,OBSR,STAR,NN21,RED,TCBU,B941,GBL,LSON,CAVE,HOA,BRSP,MINN,OOW2,VOIT,NNVM,ETW,FMW,RSW,B204,LO2,BRAN,TBM,IZEE,EDM,B202,FRIS,NED,HOOD,CMM,ASR,SHRK,SVIC,GLK,IRO,ASBU,REM,HDW,VFP,SPN5,SWF2,YACT,CIHL,BLOW,WRW,VDEB,WIFE,NN19,DAVN,RPW,RATT,SOS,UMAT,FL2,PALM,PARA,KWBU,BERY,TOLT,NN17,YEL,OPCH,PIE,WRD,H2E,ELK,B020,RER,NN32,TDL,GPW,C06D,MBW,LVP,NCO,BLIS,RUSH,OBC,MJ2,MTM,EPH2,SIFT,NEL,CPCO,HUSB,DFAZ,SWFL,VTH,STD,LNO,CLCV,TRW,RVC,GHW,LOC,RPW2,SAXON,MDW,BKC,B203,PRLK,LON,WESG,CRBN,NORM,VBE,FHE,HSR,SHUK,WISH,GUL,MIDE,KEB,KENT,BEER,BHAM,KOS,SEND,OSD,RNO,RCM,VLL,STOR,B926,VALT,LCW,RVW,DONK,TWW,GBB,WA2,EPH,NOB,G05D,TDH,MOON,YOCR,SUG,NAC,BVW,JRO,OT3,SHW,TMBU,SNB,OZB,TIMB,B201,HIYU,CDF,GSM,F05D,NATH,LOO,PR04,UNFR,WPEQ,PR01,PCMD
3.5807692469685684,,,,,3.5952488407017174,,,,,,,,,,,3.507469159984462,,,,,,,,3.513275975919613,3.3651314709670057,3.8675109256270623,,,,,,,,,,,,2.7095386046601626,,,3.7139698466152007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9644014343562213,,,,,,3.2106191660866674,,,,,,3.2578807580298035,,,,,,,,,3.4213235675043063,,,,,3.0500619058620155,,,,,,,,,,,,,,,,,,,,3.6753980032815927,,3.763663294731556,,,,,,,,,,,,,,,,,3.662989295804121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.496157797607397,,,,
,,,,,,,,,,5.286298181575928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.479501239828471,,,,,,,,,,,,,,,,5.249911851515079,,,,,,,,,,,6.14407967569009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3325546424362456,,,,,,,,,,,,,5.218000991949152,,,,,4.025850440246009,,,,,,,,,,,4.5161718204633345,,,,,
,,,,,4.372836590880779,,,,,,,,,,,4.354619026103634,,,,,,,,,3.8580100326538806,3.7904521565190645,,,,,,,,,,,,3.4171289984839275,,,4.2626008738497605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4356438665577813,,,,,,4.329821642234589,,,,,,4.385004727845971,,,,,,,,,4.3071385038580425,,,,,3.9395487273934005,,,,,,,,,,,,,,,,,,,,4.6350988019367225,,3.9989753736096305,,,,,,,,,,,,,,,,,3.809279758535787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.838171069110986,,,,
,,,,,4.560987004113067,,,,,,,,,,,5.368006783547083,,,,,,,,,4.460323715706348,3.705411798727887,,,,,,,,,,,,3.820359552297988,,,4.260313656194306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.189939836177983,,,,,,,,,,,,,,,,,,,,,4.934509036999684,,,,,4.299789743226683,,,,,,,,,,,,,,,,,,,,6.175467474652572,,,,,,,,,,,,,,,,,,,4.776383608708806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35783523028737,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.939902586898385,,,4.209638295114101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64654530568603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4013125477668167,,,,,,,,,,3.9238426756292917,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.892612893630485,,,4.415124345405436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473959120040712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47756136350749,,,,,,,,,,,,,,,,,,,,,,
4.6062525205700755,,,,,4.693478673126933,,,,,,,,,,,,,,,,,,,,3.818764751499087,3.8762008378644706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18075516167484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.153958749147617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.538554516223673,,,,,,,,,,,5.750088027655006,,,,,,,,,4.5119256905555725,4.674647932133429,,,,,,,,,,,,,,,4.985776565515085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.338295755368136,,,,,,,,,,,,,,,,,,,,,5.3438179028194615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.736270476987624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.52574267152671,,,,,4.404855975573001,,,,,,,,,,,,,,,,,,,,3.0979027506254613,2.909627253760488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.482711144517107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.224548937516338,,,,,,,,,,,4.880018860673953,,,,,,,,,4.405411615264417,4.393244158685132,,,,,,,,,,,,,,,4.456866579628981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8351251424314903,,,,,,,,,,,,,,,,,,,,,4.218053630511229,,,,,4.129967693374361,,,,,,,,,,,,,,,,,,,,4.8517243376746055,,,,,,,,,,,,,,,,,,,4.486909020869464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.948243086929661,,,,
