HSR,KOS,TOLT,HTW,NN17,OBC,GLK,WRD,NNVM,RAFT,WRW,LNO,LO2,SNB,TMBU,BHAM,KWBU,SNI,CAVE,TDL,BERY,TWW,PALM,SHUK,WESG,SPN5,VFP,OPCH,VALT,NORM,TRW,PIE,MINN,TREE,YEL,BRSP,PR05,BEER,RCS,MTM,FMW,RATT,RPW2,GPW,HUSB,LVP,B204,EDM,NN32,MEW,YOCR,ASBU,CIHL,CDF,SWFL,SEND,RUSH,BRAN,YACT,MJ2,NCO,BLOW,NN21,NAC,TBM,GBB,TCBU,B203,ASR,RVC,MOON,LSON,NOB,CLCV,RSW,H2E,LON,GHW,HIYU,SHW,ELK,BKC,OT3,ETW,UMAT,KENT,IRO,BVW,DAVN,STAR,SHRK,HUO,CARB,NATH,BRKS,MBW,SWNB,EPH2,EPH,NN19,REM,SVIC,CRBN,JUN,IZEE,WA2,MDW,B202,WPW,B926,VTH,SEP,LOC,RED,STOR,JRO,B941,RVW,FRIS,SUG,RER,SOS,LCW,DFAZ,VOIT,CPCO,KEB,PINE,CMM,RNO,OZB,GSM,MULN,WIFE,WISH,FL2,JCW,VDEB,TIMB,SAXON,B020,FHE,BLIS,NED,HOA,PRLK,RCM,BURN,TOPL,WIW,GBL,DONK,HDW,G05D,LKVW,TDH,OBSR,PARA,SWF2,NEL,STD,VBE,OOW2,CHMT,F05D,PANH,GRUT,HOOD,C06D,RPW,B201,MIDE,GUL,CTR,VLL,SIFT,OSD
,,,,,,,,,,,,,,,,,,,,,,5.26216484858494,,,,,,,,,,,,,4.489695462730016,,,,,,,,,,,,,,,4.905532532726341,,,,,,,,,,,,,,,,,,,,,5.3086527027897095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.542328986278435,,,,,,,,,,,,,3.938059250053848,,,,,,,,,,,,,,,4.245046965306722,,,,,,,,,,,,,,,,,,,,,3.79521454901234,,,,,,,3.706628155407088,,,,,,,,,,,,3.3720987132212428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.174154006145894,,,,,,,,,,,,,,,,,3.974277823566535,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.552900843592471,,,,,,,,,,,,,4.377602966251616,,,,,,,,,,,,,,,4.925848607586007,,,,,,,,,,,,,,,,,,,,,4.217858853210502,,,,,,,4.185708718024394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.644167784483512,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.102874404445505,,,,,,,,,,,,,3.7476047936535943,,,,,,,,,,,,,,,3.9185347386114375,,,,,,,,,,,,,,,,,,,,,3.8479701702518705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.708365894440133,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5.837186727314103,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.740776348083483,,,,,,,,,,,,,,,,,,,,,3.3348700766131225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.511105112944524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4.455892990012963,,,,,,,,,,,,,4.020565044111824,,,,,,,,,,,,,,,3.850185532595402,,,,,,,,,,,,,,,,,,,,,3.9818052213296973,,,,,,,3.831063689862848,,,,,,,,,,,,4.078953998058345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.172811458019284,,,,,,,,,,,,,,,,,3.897559071608869,,,,,,,,,,,,6.169434297236996,,,,,,,4.464220310338922,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.097188730414445,,,,,,,,,,,,,,,4.2830963371473585,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5478282493025417,,,,,,,,,,,,3.8631076062073197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9711399205821847,,,,,,,,,,,,,,,,,,,4.9883684709767415,,
,,,,,,,,,,,,,,,,,,,,,,4.011763176385369,,,,,,,,,,,,,3.6787426487901844,,,,,,,,,,,,,,,3.7494522039019027,,,,,,,,,,,,,,,,,,,,,3.8711063119291818,,,,,,,3.762387060146829,,,,,,,,,,,,3.5479599225046257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7530857669364748,,,,,,,,,,,,6.616851054659866,,,,,,,3.870019469084004,,
,,,,,,,,,,,,,,,,,,,,,,4.152958257422063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.978787060232346,,,,,,,,,,,,3.819236669479708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6898183899787504,,,,,,,,,,,,,,,,,3.9179770526391757,,,,,,,,,,,,6.610897333264509,,,,,,,5.20410147227135,,
,,,,,,,,,,,,,,,,,,,,,,3.9316995299083635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.714144433108244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163131764173022,,,,,,,,,,,,,,,,,3.1369997279419066,,,,,,,,,,,,,,,,,,,,,
