,Volcano_Name,Network,Station,Latitude,Longitude,Elevation
171,Mt_St_Helens,UW,SOS,46.243858,-122.137871,1270.0
172,Mt_St_Helens,UW,SPL,46.490829,-122.013321,305.0
173,Mt_St_Helens,UW,STD,46.23761,-122.223961,1268.0
174,Mt_St_Helens,UW,SUG,46.215549,-122.176262,1859.0
175,Mt_St_Helens,UW,TDL,46.35067,-122.21704,1400.0
176,Mt_St_Helens,UW,TIM,46.226501,-122.155869,1317.0
177,Mt_St_Helens,UW,YACT,45.932499,-122.419296,211.2
178,Mt_St_Helens,UW,YEL,46.209549,-122.188988,1750.0
179,Glacier_Peak,UW,GPW,48.117901,-121.137901,2354.0
180,Glacier_Peak,UW,HOPR,47.9229,-120.8943,596.8
181,Glacier_Peak,UW,RPW,48.44817,-121.514847,850.0
182,Glacier_Peak,UW,RPW2,48.44493,-121.5265,683.0
183,Glacier_Peak,UW,SKYK,47.70939,-121.36206,282.7
184,Glacier_Peak,UW,WRW,47.85665,-120.883,1167.0
185,Crater_Lake,CC,CLBH,42.907745,-122.143494,2197.0
186,Crater_Lake,CC,CLCV,42.976139,-122.088882,1892.0
187,Crater_Lake,CC,CLMS,42.922958,-122.016258,2719.0
188,Crater_Lake,CC,WIZ,42.934181,-122.149208,1884.0
189,Crater_Lake,UO,CHIL,42.624599,-121.753601,1315.0
190,Crater_Lake,UO,DFAZ,43.240601,-122.109299,1948.0
191,Crater_Lake,UW,BBO,42.88815,-122.6797,1623.0
192,Crater_Lake,UW,VCL,42.878502,-122.120171,2048.0
193,Crater_Lake,UW,WMO,42.902618,-122.593102,1860.0
194,Mt_Hood,CC,BRSP,45.40155,-121.70843,2080.03
195,Mt_Hood,CC,HIYU,45.43523,-121.807396,1418.0
196,Mt_Hood,CC,HTHR,45.338529,-121.659186,1806.115
197,Mt_Hood,CC,LSON,45.3596,-121.64719,1881.0
198,Mt_Hood,CC,MHX,45.344258,-121.672667,2001.0
199,Mt_Hood,CC,PALM,45.358574,-121.705536,2590.0
200,Mt_Hood,CC,SHRK,45.464383,-121.5288,1317.7
201,Mt_Hood,CC,STAD,45.339423,-121.659588,1816.0
202,Mt_Hood,CC,TIMB,45.33572,-121.710358,1869.0
203,Mt_Hood,CC,YOCR,45.379178,-121.743539,1913.69
204,Mt_Hood,UO,JESE,45.242199,-121.316704,592.0
205,Mt_Hood,UO,LOCK,45.67615,-121.87747,41.0
206,Mt_Hood,UW,AUG,45.73595,-121.68174,865.0
207,Mt_Hood,UW,BULL,45.44589,-122.15589,222.0
208,Mt_Hood,UW,HOOD,45.322262,-121.650932,1512.0
209,Mt_Hood,UW,MHD,45.397499,-121.702919,2231.0
210,Mt_Hood,UW,TDH,45.289669,-121.791519,1541.0
211,Mt_Hood,UW,TIMB,45.33572,-121.710358,1869.0
212,Mt_Hood,UW,VBE,45.060169,-121.588013,1544.0
213,Mt_Hood,UW,VFP,45.317902,-121.46627,1716.0
214,Mt_Hood,UW,VHE,45.32901,-121.667023,1646.0
215,Mt_Hood,UW,VLL,45.463169,-121.680351,1195.0
216,Mt_Hood,UW,VLM,45.538342,-122.040359,1150.0
217,Newberry,CC,ASBU,43.82056,-121.368401,1538.0
218,Newberry,CC,CIHL,43.75097,-121.14862,1966.0
219,Newberry,CC,CPCO,43.72201,-121.23319,2135.0
220,Newberry,CC,CRBU,43.55964,-121.70979,1653.0
221,Newberry,CC,CRST,43.46064,-121.698517,1354.0
222,Newberry,CC,KWBU,43.752399,-121.311852,1783.0
223,Newberry,CC,NORM,43.73896,-121.252678,1286.0
224,Newberry,CC,SVIC,43.643082,-121.253273,1765.0
225,Newberry,CC,SWNB,43.67274,-121.35535,1569.0
226,Newberry,CC,TMBU,43.60189,-121.14451,1743.0
227,Newberry,UO,PIN,43.811001,-120.8731,1865.0
228,Newberry,UO,PINE,43.79211,-120.94066,1914.0
229,Newberry,UO,TOOM,43.284901,-121.234703,1541.0
230,Newberry,UW,BEND,44.066399,-121.328102,1140.0
231,Newberry,UW,LPHS,43.680809,-121.509407,1290.0
232,Newberry,UW,NCO,43.703838,-121.139458,1908.0
233,Newberry,UW,NN17,43.720741,-121.327461,1701.0
234,Newberry,UW,NN19,43.7183,-121.306953,1793.0
235,Newberry,UW,NN21,43.73317,-121.289879,1903.0
236,Newberry,UW,NN32,43.70385,-121.327477,1401.0
237,Newberry,UW,NNVM,43.71117,-121.276878,1927.0
238,Newberry,UW,RMHA,43.824322,-121.49173,1273.0
