SIFT,SNB,STD,B020,ELK,GLK,SHUK,LOC,PRLK,GUL,YACT,NOB,GPW,VOIT,OOW2,IZEE,MJ2,RPW,HUSB,RATT,CTR,B204,HSR,STAR,FRIS,JUN,UMAT,SEND,TIMB,RNO,TDH,MOON,RER,B203,HTW,GHW,TOLT,CMM,WESG,LSON,HOA,HOOD,GSM,RVW,BVW,VFP,IRO,SOS,MDW,SHRK,WRW,TDL,TREE,NNVM,FMW,JCW,OZB,FHE,TBM,RAFT,NN17,OSD,EPH,LO2,MIDE,KOS,EDM,B202,BHAM,HDW,OBSR,RUSH,RPW2,GBB,KWBU,CIHL,NN32,CARB,NEL,B941,WISH,NAC,GRUT,LNO,RSW,VALT,KENT,PR05,RED,OT3,MEW,JRO,STOR,CPCO,CAVE,NORM,VLL,LCW,RCM,CRBN,YOCR,BLIS,HUO,GBL,H2E,BEER,NATH,EPH2,MTM,BRKS,BRAN,KEB,LVP,RCS,PINE,TMBU,REM,SVIC,PANH,RVC,SWFL,SEP,ASBU,MINN,WIW,TOPL,NED,SNI,DONK,TCBU,DAVN,OPCH,LKVW,BERY,B926,WRD,PARA,C06D,TWW,G05D,YEL,B201,VBE,VDEB,WPW,CDF,PIE,F05D,BKC,FL2,PALM,SUG,TRW,HIYU,MULN,CLCV,ETW,CHMT,VTH,SWF2,BLOW,MBW,SAXON,SPN5,OBC,NCO,NN21,SHW,WIFE,BURN,SWNB,NN19,DFAZ,ASR,LON,WA2,BRSP,PR04,WPEQ,GTWY,KAUT,PR01,PR03
4.2306523675291,,,,,,,,,,,,,4.347063454423453,,,,,,,,,,4.50194842947802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.656462154994393,,,,,,,,,,,,,,,,4.767036105856775,4.287568080402149,,,,,,4.814633156188168,,,,,,,,,,5.1366291784436475,,,,,,,,,,,4.567557633178655,6.304236942603149,,,,,,,,,,,,,,4.715596849463988,,,,,,,,,,,,,,,,,,4.4917030404001785,,,,,3.9729856520463778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.321565331926166,,,6.239586656350474,,,,,
3.750859408184828,,,,,,,,,,,,,3.1074819229777155,,,,,,,,,,3.222694803283972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.473713776499111,,,,,,,,,,,,,,,,3.4361099679865204,3.574660362733611,,,,,,,,,,,,,,,,3.785886847533771,,,,,,,,,,,3.358187510771285,,,,,,,,,,,,,,,3.8008848568886147,,,,,,,,,,,,,,,,,,3.760529881560672,,,,,3.2017022915162925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2002894399019794,,,3.875575670487423,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.066191747403311,,,,,,,,,3.641377477183403,,,,,,,,,,,,,,,,,,,,,,4.135102407285409,,,,,,,,,,,,,,,,,4.014101253660882,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7316886588727076,,,,,,,,,,,,,,,4.0722153289364105,,,,,3.826956235518218,,,,,,,,,,,,,,,,,,3.171705747149367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.061096734184477,,,,,,,,,,,,,2.9523044518346477,,,,,,,,,,3.7297140383358323,,,,,,,,,4.666891955725884,,,,,,,,,,,,,,,,,,,,,,3.6866333324233995,,,,,,,,,,,,,,,,3.5410221232783696,3.5955366698059916,,,,,,,,,,,,,,,,4.60092941944467,,,,,,,,,,,,,,,,,,,,,,,,,,4.24148786610301,,,,,4.0130116309932236,,,,,,,,,,,,,,,,,,3.3612984475605967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.031754050882982,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,4.17021103324675,,,,,,,,,4.634961140737401,,,,,,,,,,,,,,,,,,,,,,4.594000459917995,,,,,,,,,,,,,,,,3.856265584414607,4.5451392674964834,,,,,,,,,,,,,,,,5.311252594658017,,,,,,,,,,,4.575280218402687,,,,,,,,,,,,,,,5.1823418684896065,,,,,4.606010924990003,,,,,,,,,,,,,,,,,,3.6066192762997287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.880872965534311,,,,3.7212918550599197,,,,
4.504824577488752,,,,,,,,,,,,,,,,,,,,,,,4.447084193165113,,,,,,,,,5.152274016482739,,,,,,,,,,,,,,,,,,,,,,4.894419266297633,,,,,,,,,,,,,,,,4.142652910821504,4.409731711508606,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2167758533883415,,,,,,,,,,,,,,,,,,,,4.870406504757517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3.4269827091797733,,,,,,,,,3.24932523246329,,,,,,,,,,,,,,,,,,,,,,3.515547397289733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.153588997288568,,,,,,,,,,,4.464744565458356,3.801005529228719,,,,,,,,,,,,,,3.8617934677482406,,,,,,,,,,,,,,,,,,4.046963263813404,,,,,3.064314337878126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.283125311712015,,,4.17481627492788,,,,,
,,,,,,,,,,,,,3.524388984088327,,,,,,,,,,4.610284335883754,,,,,,,,,5.322654567199553,,,,,,,,,,,,,,,,,,,,,,4.917764854196665,,,,,,,,,,,,,,,,4.529035283896616,,,,,,,,,,,,,,,,,5.03232624411739,,,,,,,,,,,4.163296244700332,,,,,,,,,,,,,,,5.7879496558792995,,,,,,,,,,,,,,,,,,,,,,,3.934177882757187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.918907151237758,,,,,
4.772210538850451,,,,,,,,,,,,,3.7769489702231698,,,,,,,,,,4.421684516769403,,,,,,,,,6.174700975959098,,,,,,,,,,,,,,,,,,,,,,4.866073988302073,,,,,,,,,,,,,,,,4.467447183776894,4.684058425138837,,,,,,,,,,,,,,,,5.659950534350622,,,,,,,,,,,4.441175402401498,5.146930173535532,,,,,,,,,,,,,,5.5589732283526345,,,,,,,,,,,,,,,,,,4.480008444624616,,,,,4.0641954093327675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25700539633642,,,6.5225069411807075,6.416657871675182,,,,
5.286461160840915,,,,,,,,,,,,,,,,,,,,,,,4.927137113384695,,,,,,,,,6.890408067175684,,,,,,,,,,,,,,,,,,,,,,5.363008644439502,,,,,,,,,,,,,,,,5.240977911788305,,,,,,,,,,,,,,,,,5.925017342819706,,,,,,,,,,,5.268951034861552,,,,,,,,,,,,,,,6.346937295389941,,,,,5.524408012390608,,,,,,,,,,,,,,,,,,4.731596758248042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.034170903987239,,,6.4506911580555855,,,,,
