event_ID,location_latitude,location_longitude,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees),direction_snr(degrees),duration(sec),params_std_deviation,velocity(m/s),number_of_stations,Label
2075048,46.214307575977685,-122.1919910359471,12000,2015-03-09T11:57:25.725000Z,66.94596942500215,67.87765249748516,73.32913166023285,14.975,"0.347867756,0.588405042,0.176146856",76.97317501791184,6,
2075043,46.85982623442086,-121.74558650926764,50000,2015-03-09T11:17:05.950000Z,80.99885094003936,78.58546992581476,69.33509533348733,14.450000000000005,"0.110674212,1.116071748,0.080506053",32.87122184055696,8,
2074958,46.20442017997306,-122.2036687331524,11000,2015-03-08T23:09:42.325505Z,81.88888826323878,83.35864476970197,86.62729029963253,5.688510000000004,"0.191152566,0.351269026,0.141671973",117.7100028708266,8,
2073743,46.188215879433216,-122.18944328449189,9000,2015-03-06T18:27:40.825145Z,62.884916343514185,63.38511783707699,61.18102644139024,5.941956666666674,"0.176566218,0.473439669,0.134729804",101.33333422355128,6,
2072753,46.85893671352496,-121.75214633054746,46000,2015-03-05T16:30:02.650012Z,302.15841665052795,303.32668076426137,302.8056980919319,10.843774000000003,"0.108519463,0.311359803,0.06726343",81.03325559370502,8,
2072473,46.84813021253725,-121.74431408934888,46000,2015-03-05T05:38:45.000000Z,222.12282582113792,199.06576176401407,198.2601007347083,4.662499999999987,"0.168263326,1.681647882,0.129532394",28.57746493751728,8,
2071043,46.20981039522856,-122.19329427777328,46000,2015-03-04T10:05:22.500000Z,82.08139308288429,81.35586438418376,82.98656234456992,28.076666666666664,"0.234111682,0.363176096,0.154098524",129.64162234152832,15,
2071143,43.725366979640974,-121.30299594625872,15000,2015-03-04T07:23:51.002000Z,224.08613303683103,229.29905603620315,217.8109717889934,3.763999999999993,"0.715931744,0.741754086,0.544248256",139.71600220054194,5,
2071163,46.20261719895292,-122.19848863050844,11000,2015-03-04T02:57:33.000000Z,64.16175999514685,69.39997925908084,64.89412941561183,31.61249999999999,"0.089178588,0.360780306,0.065639477",62.66015913838342,8,
2068543,46.852643858827776,-121.75478882962273,69000,2015-03-02T22:23:16.851024Z,866.7826605612653,144.30748254673438,866.8384211274283,18.43538133333334,"0.168052419,0.132293371,0.099857068",192.4416653411004,6,
2067143,46.85623613228142,-121.75084362792164,47000,2015-03-02T18:35:18.276024Z,-17.1496499316556,-15.078672210476046,-14.268790274948186,3.8957980000000023,"0.127349991,0.551635526,0.07909624",54.29749035783566,8,
2067943,46.854456111608485,-121.76396200622705,55000,2015-03-02T05:33:38.000000Z,186.93504039874497,169.5805624264143,178.97430204693384,13.73125,"0.223236785,0.593075844,0.144043822",81.65619943888072,8,
2061148,46.85624006291108,-121.75346623495692,40000,2015-02-28T05:34:26.300014Z,15.51110855752793,28.225160637392968,29.24432619538118,18.937527999999983,"0.102351105,1.394426396,0.071110706",21.64737904923463,8,
2058253,46.19631266848726,-122.18942959216488,6000,2015-02-27T14:33:44.000000Z,75.31381066727957,73.83583920687977,62.349976458039386,9.014285714285707,"0.267532758,0.652140883,0.188081558",102.36815282398736,7,
2058358,46.86342842691639,-121.74819755791714,44000,2015-02-27T12:23:22.851072Z,278.6918451377815,680.564594009042,254.7053977455904,7.989643999999991,"0.074704463,0.9345728,0.050856156",23.98690719300208,8,
2057343,46.87151607269314,-121.74292445120749,21000,2015-02-25T14:21:07.000002Z,211.00200711260737,214.04363913045665,208.46651909382928,32.450004000000014,"0.241997516,0.26049799,0.144985596",181.84040349159343,5,
2054153,46.85263995853743,-121.75216639744912,37000,2015-02-23T22:08:15.000533Z,77.57631808492116,55.61999071550453,81.34426458839683,17.05106600000001,"0.141422767,0.982147652,0.107038472",51.43832414946016,8,
2052753,46.85353949539064,-121.75216353112052,42000,2015-02-23T12:32:30.000000Z,1.5234145692856491,-9.825246290822191,19.414034786730998,9.393750000000004,"0.13055077,0.637873234,0.086303961",50.84646663837371,8,
2052443,46.86251865107935,-121.74164321034598,49000,2015-02-23T07:32:57.000533Z,35.05450046316816,59.80934087892236,33.28612588104903,7.293923142857145,"0.125339742,2.154191302,0.098552011",21.24712091100696,7,
2052843,46.85261955702459,-121.73905424243382,28000,2015-02-23T01:08:11.000533Z,240.66995492954047,244.1317413282548,232.3602614814212,28.676066,"0.244888026,1.884333875,0.183448468",38.388327170999055,6,
2051343,46.85443507163733,-121.74953814535458,37000,2015-02-22T22:32:17.998537Z,196.8276066587357,206.39810131551877,201.1161579950448,16.63278828571429,"0.160682842,0.565350661,0.109948372",73.48403983248667,7,
2050963,46.85264191618312,-121.7534776134885,48000,2015-02-22T12:18:39.998537Z,42.08961797434517,60.89764214063587,56.50594418957142,22.615824,"0.125985102,1.697340731,0.096979729",27.392344248271627,8,
2050553,46.8562477441426,-121.75871145016032,38000,2015-02-21T23:52:32.351363Z,66.88313905688182,185.33424664009263,30.213275460332707,7.452725999999998,"0.206135046,4.296841053,0.156302773",16.169035836630208,6,
2050548,46.85982004540038,-121.74165233800298,26000,2015-02-21T23:42:23.001399Z,271.2287967240298,260.6394435095849,260.63916506500385,14.844464666666669,"0.182414666,0.93760367,0.140080261",60.08782653528243,6,
2049248,46.85533058756405,-121.74691267232512,50000,2015-02-20T22:41:44.750098Z,24.151197457286127,60.35500044090352,69.76982900084671,12.493946,"0.139607009,2.287990902,0.104350955",21.5632056162337,8,
2047743,46.85889666205103,-121.72723033437268,19000,2015-02-20T20:46:33.000098Z,241.01430991672825,249.77844890735523,233.49956852340705,18.437695999999995,"0.370511148,1.073539079,0.22353872",74.73274293653702,4,
2045953,46.86072780296538,-121.74689494501844,44000,2015-02-19T04:43:58.126016Z,322.31768766686787,-29.17868551173124,-34.63225013756725,17.164532000000012,"0.089721584,0.253638363,0.053176688",74.71549522967916,8,
2121948,46.848178570962745,-121.7784028774825,20000,2015-02-18T20:13:23.050001Z,218.0353690991404,257.3268180297751,227.42824996471933,3.1583353333333264,"0.216099888,1.777746875,0.141627194",28.317089138807955,6,
2047953,46.85892465081816,-121.74427811726184,39000,2015-02-18T09:52:58.000001Z,170.31482786754503,173.92577139064443,-196.6435650074349,4.837502000000001,"0.154007223,0.458938368,0.099068201",76.73331444620011,8,
2050353,46.86258554936747,-121.79016714329914,37000,2015-02-17T22:43:39.475044Z,225.72534478977076,232.14627620972504,161.1663484794366,-4.5199119999999935,"0.300592427,2.422114905,0.242799837",30.66023320497601,5,
2043558,46.8607338120717,-121.75082918313328,42000,2015-02-17T07:46:47.000000Z,-570.4428889489711,145.5495267981778,-571.7604406507239,5.03125,"0.044592367,0.10875871,0.026504127",74.11998195973541,8,
2041043,46.866114696666216,-121.74031949484284,23000,2015-02-16T01:58:40.000438Z,263.7715207978913,235.83098631052616,282.9334196611554,20.130875999999997,"0.376107115,1.641611813,0.345501326",120.53933623204706,5,
2041348,46.85354913381553,-121.75871972165928,46000,2015-02-15T11:03:11.599996Z,71.68883545333175,60.08503684972196,71.16000357776069,22.631241999999997,"0.1565009,1.86869754,0.123046014",31.95209149001825,8,
2039243,46.85893074968628,-121.7482122234644,41000,2015-02-15T02:47:53.799996Z,162.63518833902506,77.31814717414927,505.4727589368402,7.474992,"0.236543327,2.028188491,0.145761009",26.513614461000376,8,
2042448,46.2071017656312,-122.18163667384827,16000,2015-02-14T06:11:10.275000Z,88.20622311030043,94.79527822648328,84.49678885035723,12.310000000000002,"0.135034652,0.341103609,0.102385475",142.42802836665882,5,
2042453,46.85802097423699,-121.74165842245024,48000,2015-02-14T06:06:12.000801Z,-389.11544745137707,302.6498037114566,-384.6652037250866,14.773030571428569,"0.15487506,1.673581981,0.101209215",23.00141743033462,7,
2034858,46.84453206189488,-121.74432607590036,26000,2015-02-13T14:40:20.700000Z,272.61665376310395,321.03145370157324,264.5549412583697,23.72000000000001,"0.453203008,2.070364427,0.342395562",57.94031398182048,5,
2033853,46.86252687362869,-121.74688903489468,46000,2015-02-12T16:32:35.550002Z,279.2934061603071,222.34474249959248,310.78239681536854,9.500004,"0.151560868,1.73519277,0.102769757",25.51095687871574,7,
2030743,46.857145382788914,-121.75739736693116,38000,2015-02-10T19:03:36.000664Z,241.0829566709145,255.46796878657975,243.8004708516481,4.451328000000004,"0.312375789,3.865056012,0.238232937",23.71206896265129,6,
2030443,46.86521516219555,-121.74032255994602,44000,2015-02-10T16:22:47.575664Z,198.10806146499897,183.4446823516787,188.5746440933094,5.272756571428573,"0.242723491,1.742836574,0.16452332",30.76649679976661,7,
2028043,46.86162733836811,-121.74689199002042,29000,2015-02-09T20:05:42.000009Z,242.6399821372393,242.4126977598385,250.07999057578263,13.341684666666666,"0.31820434,3.855964768,0.251639017",27.62481663215983,6,
2026748,46.86432796193599,-121.74819462442738,42000,2015-02-08T11:22:28.100010Z,114.30487511225216,110.71124584802034,108.4985270340328,23.216686666666675,"0.078743553,0.630876152,0.056445942",29.578741706304896,6,
2024463,46.864317720821255,-121.7416371245838,37000,2015-02-06T20:44:29.050222Z,682.308758397714,-20.21118560090312,305.02426894109965,9.65044400000001,"0.213501418,0.968675281,0.124472675",40.94685976604869,7,
2024468,46.8562477441426,-121.75871145016032,31000,2015-02-06T18:56:17.325224Z,59.23877439488456,57.6034169182128,65.21848689981927,25.730448000000013,"0.242665361,0.798252666,0.166104344",74.07526306374348,5,
2022143,46.85175380975311,-121.76134762474187,42000,2015-02-04T17:58:03.376353Z,131.18504019525437,503.3150851076991,121.35218118401872,22.59437266666667,"0.260383414,1.408761251,0.153218111",38.298867779020696,6,
2022243,46.859851493135714,-121.7626345948218,47000,2015-02-04T03:14:27.551353Z,57.608729795693975,50.38712347370248,57.57683521733108,14.346456000000009,"0.08006038,0.517323702,0.065388992",59.89989254017422,8,
2019153,46.85531175245863,-121.73511114518588,49000,2015-02-02T03:52:00.500000Z,170.12501476879774,171.4512580839582,171.5624550444518,6.05714285714285,"0.118618194,0.389613148,0.086015403",78.61244965437608,7,
2019248,46.876003194938,-121.73635041755506,49000,2015-02-01T23:13:55.675006Z,114.39477930840012,112.30837305816682,119.92225108846648,16.925011999999985,"0.175117992,0.45873656,0.124256594",106.15057675119913,6,
2021253,43.72803349902932,-121.23100956476236,30000,2015-01-31T17:46:07.000000Z,109.33336005702958,132.1209432220209,119.70202524321506,18.912499999999994,"0.158465462,20.17723849,0.14409866",4.523995880714282,8,
2013048,46.86070896543539,-121.73509223607586,26000,2015-01-27T09:39:01.000000Z,42.74592499562762,35.31118696960619,53.18686590304798,16.775000000000006,"0.266618346,0.662225469,0.168959375",86.5241863708142,4,
2012943,46.2250910505748,-122.17771507817038,26000,2015-01-27T09:02:01.601331Z,55.32930737979594,54.91725991901435,57.90594774742941,8.719328666666675,"0.249099959,0.31608028,0.21259842",206.9465423932101,6,
2013148,46.85979393899678,-121.72591566227538,22000,2015-01-27T06:15:20.151341Z,-18.55832955683411,-390.87037569821695,-4.832307917017735,22.740182,"0.410855124,1.012109829,0.287300924",108.95694952865588,4,
2012263,46.862505867118976,-121.7337744765828,23000,2015-01-24T23:10:57.000009Z,289.5366983164546,280.7588564361953,299.4457337824775,13.70001800000002,"0.162064486,0.980413562,0.113735343",48.70887190399565,7,
2010048,46.852602155742055,-121.72856452579502,42000,2015-01-23T07:21:35.000000Z,223.48570744876895,182.19007702503225,193.9983966391226,8.866666666666674,"0.283510641,2.161301514,0.228919952",40.67126337825724,6,
2009143,46.862534856105135,-121.75213486102076,51000,2015-01-22T02:33:22.000005Z,78.05718810483249,27.43641354002892,43.87750212876978,4.250010000000003,"0.260615897,6.579069401,0.191613136",17.056665600667912,5,
2009273,43.720841408340696,-121.24218909910364,19000,2015-01-21T18:22:26.000000Z,216.6576398089872,220.43467093850165,217.94278455883372,9.15555555555555,"0.104438887,0.582715566,0.070211204",40.87889405856403,9,
2006858,46.198125304643554,-122.20756445436996,22000,2015-01-18T12:12:05.700000Z,91.76665716501508,84.71324345512734,85.22528022963841,13.5375,"0.317532884,0.73932721,0.213329623",120.39079219488424,4,
2005948,46.86256949436878,-121.77705255522488,57000,2015-01-15T08:45:52.000002Z,170.46333184775378,192.61728003053145,169.40011415419468,4.507146857142849,"0.221541572,0.64597468,0.147567927",52.78741545471634,7,
2004648,43.72173703341486,-121.23598292694984,20000,2015-01-14T18:12:57.000000Z,230.99872122795813,203.2244328601867,201.99939685591917,9.01,"0.15186772,1.024829038,0.09645096",33.626598283912884,10,
2004653,46.87515085098015,-121.7678358680774,52000,2015-01-14T15:43:57.575007Z,231.80551463536185,246.76005786249,189.1506661118457,25.507156857142856,"0.253294133,2.237419168,0.201075088",30.58947798344313,7,
2004743,46.85890989501178,-121.73509853965732,40000,2015-01-14T09:03:32.225007Z,295.93075117839675,289.20202576867683,299.0964840321588,4.337513999999999,"0.127385555,0.511144642,0.078798914",56.86850293657216,8,
2004658,46.86162733836811,-121.74689199002042,42000,2015-01-14T07:30:12.325007Z,265.9240766561841,316.5313926671312,237.41091752903847,5.362513999999994,"0.16348702,2.353752811,0.117538573",21.829365786259267,8,
2002868,46.867909533325296,-121.73769019006237,20000,2015-01-13T18:32:36.000012Z,221.27754904564424,229.3605632769319,218.3118951659193,13.390023999999991,"0.119258595,0.328328356,0.073585229",75.38089338236422,5,
2002853,46.84092557068601,-121.73909433698688,27000,2015-01-13T02:22:03.000000Z,212.42666391432488,230.2771173011137,203.05756167916743,14.049999999999988,"0.356174576,1.014436452,0.285081806",87.4346416780346,5,
2002048,46.86525417681451,-121.76655300959196,42000,2015-01-12T11:27:33.097890Z,208.6303562719998,243.18704450678536,211.5181809420576,18.945780000000013,"0.305805678,1.261731895,0.212239406",56.07005695816682,7,
2000343,46.86609518144881,-121.72851560845812,28000,2015-01-11T20:00:17.000041Z,185.30911933637665,184.102669374426,182.09790461208175,20.2643677142857,"0.075166357,0.299592319,0.048996843",57.56589411039181,7,
2000348,46.22419491403662,-122.18160532422364,20000,2015-01-11T18:42:46.000000Z,59.65668397704115,63.00383178885772,52.89973904689909,9.625000000000009,"0.585268366,0.630420897,0.435485305",205.84306348804637,4,
2000358,43.723524061631615,-121.21984691718856,22000,2015-01-11T14:48:10.000000Z,225.801869788333,215.928065339204,221.93502985880343,11.88571428571428,"0.223400628,0.656930844,0.138960656",80.94765952757662,7,
2000363,46.86341609282776,-121.74032868975496,41000,2015-01-11T14:06:45.000000Z,3.0428140559946053,13.529724790708432,1.786311240760705,8.564285714285713,"0.109875705,0.514636774,0.07100626",54.49138497823679,7,
2000373,46.85805056774611,-121.761328630926,59000,2015-01-11T09:29:49.000000Z,-562.8287340474081,134.98004856761372,-205.53584839116564,11.31875,"0.148831282,0.693573598,0.088892546",39.82596137522731,8,
2004343,46.86881539268845,-121.7416219078766,38000,2015-01-10T03:17:27.001408Z,213.46870480121933,202.13170679745576,213.2077860337586,4.3528159999999945,"0.206839548,0.799060913,0.156515613",75.09981471986903,7,
1973943,46.85894061440102,-121.75476906908229,39000,2014-12-15T08:16:01.975039Z,223.92847459903712,217.0520327104702,228.774001488476,8.000078000000002,"0.099809963,1.302990299,0.0771351",25.56323712042235,6,
1998558,43.722632321574594,-121.22977656997992,21000,2015-01-09T16:32:08.125000Z,197.27962233298663,206.49388346560752,186.8337056142757,11.733333333333336,"0.180412003,0.625639205,0.108915447",58.41575501343208,9,
1973543,46.86703448945017,-121.75343208755822,31000,2014-12-14T22:06:55.874275Z,11.294541951710556,22.456191945377554,27.972948948459106,6.012835714285708,"0.258952905,1.063061431,0.151277044",48.2061675854033,7,
1998568,43.72532941349206,-121.22604927938204,18000,2015-01-09T12:33:47.000000Z,184.2980079124441,184.0681777201032,189.5247553451544,11.008333333333326,"0.192314904,0.190844608,0.107835279",191.78231905126347,6,
1973143,46.84543364706916,-121.74563411990503,47000,2014-12-14T06:51:21.000000Z,219.4744834129608,225.86018850609352,218.942053154742,24.2875,"0.159303102,0.674165575,0.120551468",75.89778888389961,8,
1998583,43.723537101532784,-121.23598040119704,19000,2015-01-08T17:48:44.000000Z,684.939797558267,324.93979755826695,324.9397975582669,9.562500000000009,"inf,inf,inf",67.18551385297518,4,
1998588,43.72083968505095,-121.2397071352528,11000,2015-01-08T17:41:39.000000Z,265.30104151029667,265.652958474186,267.80650459164696,9.799999999999992,"0.137792279,0.857875162,0.098553941",50.77800188964943,9,
1997558,46.22330892138209,-122.19845700991652,17000,2015-01-07T22:18:31.900004Z,47.502991864575904,48.17948651837204,43.99754791609367,19.10000800000001,"0.459646706,0.12247034,0.197434927",440.0315143931264,5,
1972048,46.83559785498411,-121.7889232815126,77000,2014-12-12T06:08:29.800000Z,108.6095892192048,92.77071389207242,119.83986490539654,6.4375,"0.351967253,1.363101195,0.165334463",31.121088138769395,4,
1991143,46.20352644448542,-122.21273986570644,22000,2015-01-05T14:12:45.000000Z,70.40981548121923,48.60372607320394,131.92666820131947,8.833333333333337,"0.315177313,3.568881443,0.227627344",21.238306908579336,6,
1991148,46.19272911892836,-122.2101626852244,22000,2015-01-05T11:52:53.675000Z,0.2095842281106985,-11.742091828525696,16.868919898679508,15.230000000000018,"0.366298176,1.128663259,0.241855825",61.49113348412818,5,
1984353,46.8625123266196,-121.73770884299776,41000,2014-12-24T12:39:19.000009Z,239.68311668940967,258.126099968628,221.9952834580109,6.187518000000001,"0.248776579,1.155864774,0.194509656",68.00236169821096,8,
1984448,46.85625518533698,-121.76395666683533,37000,2014-12-24T05:51:30.525009Z,256.6266606814831,300.421534660614,256.5559880686235,21.73573228571428,"0.121554206,1.223685247,0.100903579",32.308744961987635,7,
1964353,46.21699894274164,-122.18291453529991,38000,2014-12-05T19:03:38.050007Z,55.78374314781129,43.96795409433446,46.30225593999222,19.620013999999998,"0.195361041,0.256043168,0.14050815",171.67651421723812,10,
2006248,46.198121783430494,-122.20238219472792,15000,2014-12-21T00:48:47.175000Z,41.41217427110207,35.252519830683326,39.245515847156746,9.75,"0.248690567,1.039774576,0.204507564",86.05832579683374,4,
1963953,46.86252889175464,-121.74820049128012,32000,2014-12-05T15:17:44.000000Z,47.809852189752704,49.2523400336714,45.26585409654827,5.329999999999989,"0.071012947,0.236287155,0.05547845",91.74665053822798,5,
1964153,46.868817471144766,-121.7429335171164,42000,2014-12-05T09:18:35.000007Z,219.07011526837488,230.0482511444328,232.51904874144032,8.730013999999994,"0.19236561,1.701972059,0.17129983",52.83056735322938,5,
1980643,46.85533058756405,-121.74691267232512,29000,2014-12-19T20:37:11.750072Z,-387.924192831,310.4309097137057,-17.62307551447291,7.316810666666673,"0.204992261,0.94500446,0.129124601",50.3017604469764,6,
1964348,46.85088211322355,-121.78232911492692,19000,2014-12-04T23:15:20.674996Z,125.08832038097906,118.3142493830869,122.61495658582258,8.799991999999992,"0.218590532,0.403671157,0.154272237",136.88956482794322,5,
1963248,46.858934740582,-121.75083496142317,29000,2014-12-04T20:46:57.999996Z,275.0104187517658,274.555716477097,274.9399903161115,6.512492000000009,"0.014886511,0.067239151,0.010515314",54.03414015986861,4,
1978443,46.19000624818288,-122.17907725042744,35000,2014-12-19T00:44:26.975000Z,49.64222674569783,59.92099498365352,47.99062194263028,6.080000000000007,"0.271180049,0.544631524,0.200508589",115.80185423343774,10,
1962843,46.192720170316186,-122.19720830455528,22000,2014-12-04T11:09:43.850000Z,31.6764181737338,48.68482929166968,47.00824229341279,19.15833333333333,"0.248746197,1.191292013,0.194484778",57.093658422403,6,
1962648,46.875166317935495,-121.7796417508808,39000,2014-12-04T05:59:57.999996Z,-570.4604321553672,-208.9176912843184,-205.8983882789641,5.849991999999998,"0.150725634,0.233536933,0.092120535",110.7014483876882,5,
