Date,Time Start,Time End,Seismic,PR03,PR04,South Side,Remarks,Unnamed: 8,Unnamed: 9,Unnamed: 10
2021-09-17,02:04:00,02:06:00,x,x,x,,"Strong seismic signal, amplitude locate near Carbon/Russell.  Infrasound on west side and CRBN",,,
2021-09-24,05:25:00,05:27:00,x,,,x,"Good KAUT, less so on PARA.  Nice event overall",,,
2021-10-17,11:09:00,11:11:00,x,,,x,"Strong seismic, impulsive on PARA/KAUT",,,
2021-11-01,05:17:30,05:18:30,x,x,x,x,"PARA did not detect, west side stas did.",,,
2021-11-11,05:17:00,05:19:00,x,,,x,PARA plus seismic,,,
2021-11-12,00:31:00,00:33:00,x,,,x,"PARA detected, mod seismic signal",,,
2021-11-12,02:16:00,02:18:00,x,,,x,"PARA detected, mod seismic signal",,,
2021-11-12,03:20:00,03:23:00,x,,,x,"PARA detected, mod seismic signal",,,
2021-11-12,07:36:00,07:40:00,x,,,x,"PARA detected, mod seismic signal",,,
2021-11-12,17:47:00,17:50:00,x,,,x,"PARA detected, mod seismic signal",,,
2021-11-29,19:58:00,20:01:00,,x,x,x,Lots of infrasound arrays picked it up w/ migration on the west side.  Not a strong seismic signal.,,,
2021-12-14,03:28:00,03:30:30,x,,,x,strong signal on PALM,,,
2021-12-21,13:09:00,13:12:00,x,,,x,,,,
2021-12-22,02:42:00,02:45:00,x,,,x,,,,
2021-12-26,05:50:30,05:53:30,x,,,x,nice signal in seismic and westside infra. USE IT,,,
2022-01-05,18:47:30,18:49:30,x,,,x,probable avalanche,,,
2022-01-06,07:22:00,07:24:00,x,,,x,probable avalanche,,,
2022-01-07,09:27:30,09:30:00,x,,,,probable avlanche.  Has a tail on it like avalanches at hood and msh,,,
2022-01-12,05:57:00,06:00:00,x,,,,probable avalanche?,,,
2022-01-12,11:12:30,11:16:00,x,,,x,avalanche?,,,
2022-01-13,11:44:00,11:46:00,x,,,,"Avalanche near STAR (""lock-in"" event near end???)",,,
2022-02-18,06:37:30,06:39:00,x,,,x,,,,
2022-02-18,13:35:30,13:38:00,x,,,x,,,,
2022-02-19,22:54:00,22:56:00,x,,,x,,,,
2022-02-19,21:42:00,21:45:00,,x,x,,"Moving source (helicopter or plane). CRBN, PR03, PR04, SIFT",,,
2022-05-04,03:30:00,03:31:30,x,x,x,x,"All arrays see the signal, PR03 has a strange ba",,,
2022-05-16,04:12:30,04:14:00,x,,,,,,,
2022-07-05,04:00:15,04:02:30,x,,,,Med Rockfall,,,
2022-07-10,07:23:30,07:24:30,x,,,,Sm. Rockfall,,,
2022-07-11,12:50:15,12:51:30,x,,,,Med Rockfall,,,
2022-07-14,05:41:45,05:42:45,x,,,,Med. Rockfall,,,
2022-07-20,03:20:30,03:22:00,x,,,,Med. Rockfall,,,
2022-07-20,14:11:30,14:12:30,x,,,,Sm. Rockfall,,,
2022-08-05,17:35:30,17:36:00,x,,,,Sm. Rockfall,,,
2022-08-09,10:03:00,10:04:00,x,,,,Sm. Rockfall,,,
2022-10-06,07:32:30,07:34:00,x,x,x,x,Rockfall. Infrasound on many of the new arrays,,,
,,,,,,,,,,
2022-10-18,17:45:30,17:47:00,x,x,x,,"Nice rockfall, infraound on west side only.",,,
