event_ID,location,location_uncertainty(m),origin_time,direction(degrees),direction_sharpness(degrees)params_std_deviation,velocity(m/s),number_of_stationsdirection_snr(degrees),direction_sharpness(degrees),direction_snr(degrees),duration,number_of_stations,params_std_deviation
['3132928'],"['46.866153712122305,-121.76655038235573']",[4000],"[UTCDateTime(2020, 7, 8, 17, 43, 50, 101044)]",[20.932427160950077],,[73.0699602648605],,[23.324435583414715],[20.94782007467828],[32.21637371428571],[7],"['0.122321779,0.374741898,0.081697528']"
['3136293'],"['46.86617096897022,-121.77966583962578']",[4000],"[UTCDateTime(2020, 8, 7, 6, 29, 37, 997000)]",[133.67572811264026],,[11.579311870940858],,[11.761378183758037],[141.1568585712988],[10.11066666666666],[12],"['0.282587753,5.520738623,0.19684893']"
['3136313'],"['46.857158352649165,-121.76657664960902']",[2000],"[UTCDateTime(2020, 8, 7, 3, 19, 53, 997000)]",[38.31786370614541],,[18.425589352603033],,[31.79469970460966],[36.44840730526636],[28.794000000000004],[4],"['0.066985096,0.897231385,0.041609468']"
['3133423'],"['46.866114696666216,-121.74031949484284']",[2000],"[UTCDateTime(2020, 7, 6, 14, 50, 50, 999997)]",[107.5918537233666],,[22.214612923151574],,[100.12191714033844],[99.69219960020607],[10.214279714285713],[7],"['0.025801889,0.358278363,0.018430449']"
['3133388'],"['46.20711045312764,-122.19200287918224']",[1000],"[UTCDateTime(2020, 7, 6, 9, 57, 59, 999997)]",[122.72916068017743],,[415.7816022387751],,[122.8644157797072],[121.04377987692328],[69.53332733333333],[6],"['2.005357713,0.344876622,0.457357104']"
['3132423'],"['46.86613495468696,-121.75343493385125']",[3000],"[UTCDateTime(2020, 7, 4, 21, 47, 14, 175000)]",[-206.67578515326738],,[8.595993114870788],,[76.8082401337958],[192.39869113396253],[4.556250000000002],[8],"['0.135805263,3.60791943,0.07679866']"
['3133343'],"['46.86613495468696,-121.75343493385125']",[3000],"[UTCDateTime(2020, 7, 4, 19, 5, 33, 116)]",[80.76776242252491],,[16.854691746258375],,[120.67674388965447],[104.32605926777119],[8.585232000000005],[10],"['0.230005533,5.852678855,0.19788234']"
['3133338'],"['46.85713959923772,-121.75346339001669']",[2000],"[UTCDateTime(2020, 7, 4, 19, 0, 42, 475000)]",[76.39399823895943],,[52.32682313473311],,[81.63140042530115],[73.62490690889116],[10.710000000000003],[5],"['0.118646491,0.786254592,0.091129536']"
['3133333'],"['46.85713959923772,-121.75346339001669']",[4000],"[UTCDateTime(2020, 7, 4, 18, 48, 46, 650116)]",[-392.26598207585903],,[27.969670852610612],,[14.330355689997418],[326.8556501308336],[12.080232],[10],"['0.16133743,1.215830932,0.095911191']"
['3133323'],"['46.866092938062245,-121.72720406606092']",[1000],"[UTCDateTime(2020, 7, 4, 16, 27, 50, 116)]",[323.1120097296349],,[40.505659005209836],,[686.8945170910978],[-391.0984737455745],[36.68356533333334],[6],"['0.063747585,0.411487461,0.041492586']"
['3133258'],"['46.866092938062245,-121.72720406606092']",[2000],"[UTCDateTime(2020, 7, 13, 22, 10, 4, 1237)]",[18.965968433447312],,[41.58356987486138],,[12.252933770777705],[8.276550632109656],[7.495331142857148],[7],"['0.139844899,1.073382463,0.096605171']"
['3133148'],"['46.20711999176598,-122.20496064015421']",[2000],"[UTCDateTime(2020, 7, 13, 10, 53, 11, 901237)]",[65.49839233411063],,[159.85307052367912],,[65.42556646468513],[66.13061311043796],[36.38997399999999],[4],"['0.113016403,0.113808639,0.067955089']"
['3133153'],"['46.87514905738404,-121.76652410374665']",[4000],"[UTCDateTime(2020, 7, 13, 5, 55, 32, 926237)]",[-193.63178781391034],,[101.44530896378478],,[-193.67465727332515],[-192.61423414290093],[34.30247400000001],[4],"['0.069705533,0.102370769,0.03519103']"
['3133083'],"['46.85713959923772,-121.75346339001669']",[3000],"[UTCDateTime(2020, 7, 13, 3, 3, 6, 900000)]",[161.67154854244717],,[19.136432717028256],,[183.74161537910769],[175.27045351545596],[22.050000000000015],[7],"['0.566506267,5.27581542,0.332787811']"
['3133038'],"['46.189080201233445,-122.15317189992292']",[4000],"[UTCDateTime(2020, 7, 12, 15, 47, 23, 976128)]",[-9.454897296020354],,[564.2612920608518],,[-9.454897296020322],[-9.454897296020354],[71.52725599999997],[4],"['inf,inf,inf']"
['3133078'],"['46.20708697341162,-122.1660873724145']",[1000],"[UTCDateTime(2020, 7, 11, 20, 18, 46, 745000)]",[206.84825907774797],,[63.50391762800625],,[211.4432109526857],[206.30107690665656],[105.6525],[4],"['0.441435051,0.880092515,0.285595147']"
['3133068'],"['46.866114696666216,-121.74031949484284']",[6000],"[UTCDateTime(2020, 7, 11, 18, 41, 23, 975000)]",[247.82488672081357],,[104.87891709739428],,[231.2700065989998],[241.28569560808037],[22.768750000000008],[8],"['0.274931906,0.765855478,0.219858341']"
['3131633'],"['46.87519633630274,-121.8058770685393']",[4000],"[UTCDateTime(2020, 6, 21, 6, 55, 41, 997000)]",[205.85389631433674],,[21.274726489462974],,[108.33257781562472],[226.5959423331555],[3.868999999999995],[12],"['0.249895401,1.653863574,0.141438118']"
['3130973'],"['46.19811403676282,-122.19201767753954']",[0],"[UTCDateTime(2020, 6, 20, 18, 45, 16, 695000)]",[14.619612696207293],,[144.18765967029026],,[14.619612696207332],[14.619612696207456],[17.62999999999999],[5],"['inf,inf,inf']"
['3130123'],"['46.198123573380435,-122.20497332446621']",[0],"[UTCDateTime(2020, 6, 12, 2, 28, 25)]",[122.8329500325695],,[164.80586061120974],,[121.69140291022781],[124.36316494896639],[28.52500000000002],[4],"['0.338910071,0.329520452,0.162985621']"
['3130013'],"['46.866114696666216,-121.74031949484284']",[2000],"[UTCDateTime(2020, 6, 10, 7, 30, 45, 279)]",[70.1916995264169],,[30.873032695294494],,[90.261136553327],[75.77884743858498],[6.450558000000001],[7],"['0.112386539,1.266279243,0.089294645']"
['3129833'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 6, 9, 3, 46, 57, 999995)]",[-10.667490066392705],,[38.37415449593903],,[-3.5930087328255453],[-22.110423205304574],[7.983323333333341],[6],"['0.201549992,1.321471852,0.131186471']"
['3129823'],"['46.84816297896432,-121.76660290551352']",[1000],"[UTCDateTime(2020, 6, 9, 2, 21, 37, 450000)]",[64.06888320283167],,[13.196247726457374],,[315.8505223221278],[98.71974151271279],[19.92999999999999],[5],"['0.199270306,5.00574915,0.153796546']"
['3129623'],"['46.866153712122305,-121.76655038235573']",[2000],"[UTCDateTime(2020, 6, 7, 18, 3, 31, 3000)]",[84.22396525195684],,[70.16573494958352],,[83.75634470781009],[83.70848333553805],[12.165999999999997],[5],"['0.132582722,0.692597678,0.10830417']"
['3129618'],"['46.1981030329759,-122.17906203543858']",[0],"[UTCDateTime(2020, 6, 7, 15, 43, 19, 995000)]",[46.05914060264484],,[155.08240522307065],,[53.17606537609652],[49.03731997154899],[12.3275],[8],"['0.281578067,0.533216299,0.214474817']"
['3129658'],"['46.1981030329759,-122.17906203543858']",[1000],"[UTCDateTime(2020, 6, 7, 5, 5, 40, 995000)]",[85.06806785935198],,[100.77431968447127],,[47.80958710766636],[93.61643144668136],[13.05874999999999],[8],"['0.178396692,0.507733578,0.12720683']"
['3129648'],"['46.866153712122305,-121.76655038235573']",[3000],"[UTCDateTime(2020, 6, 6, 22, 29, 33, 303000)]",[133.38322122060453],,[36.73404186215281],,[40.38441666894248],[127.99812683485939],[21.939333333333337],[6],"['0.327301428,2.078156595,0.219866543']"
['3129738'],"['46.84814422957513,-121.75349183388761']",[2000],"[UTCDateTime(2020, 6, 5, 21, 55, 2)]",[110.94437271397484],,[60.291049835136484],,[129.48106946190794],[120.17570739908379],[18.67857142857142],[7],"['0.237301754,1.116436621,0.182953894']"
['3129188'],"['46.857158352649165,-121.76657664960902']",[2000],"[UTCDateTime(2020, 6, 2, 22, 35, 21, 403196)]",[311.5379192935021],,[12.956193075310956],,[260.3060124005087],[288.64114012554836],[30.87305866666666],[6],"['0.121097116,2.272175342,0.076640174']"
['3131228'],"['46.26111803962668,-122.24379583524686']",[14000],"[UTCDateTime(2020, 6, 24, 10, 48, 28, 950622)]",[32.77353347510004],,[559.0368696233],,[33.585744048647214],[32.965506441903585],[3.538744000000001],[4],"['0.475023292,0.05044367,0.199176968']"
['3129083'],"['46.84818022840977,-121.77971398589368']",[5000],"[UTCDateTime(2020, 6, 2, 4, 53, 11, 899000)]",[189.66292158462545],,[196.16613575104313],,[184.94538417646686],[187.73904456294332],[5.038909090909093],[11],"['0.272688502,0.224693209,0.160669182']"
['3129073'],"['46.866092938062245,-121.72720406606092']",[2000],"[UTCDateTime(2020, 6, 2, 3, 42, 32, 757)]",[65.51444194842759],,[79.63719856877856],,[57.669228493498174],[71.35460226823167],[3.559847333333323],[6],"['0.083571667,0.281064841,0.064371845']"
['3129063'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 6, 2, 3, 8, 50, 757)]",[258.87700106844227],,[109.89307759668536],,[267.22093062672576],[268.16138551858455],[16.12151399999998],[5],"['0.213952533,0.582104295,0.153839073']"
['3131693'],"['46.18900979202473,-122.10135790671129']",[6000],"[UTCDateTime(2020, 6, 23, 15, 30, 4)]",[229.59195798389862],,[115.71975051973749],,[212.4684397801666],[213.22858042144767],[19.592857142857145],[7],"['1.109170696,1.959497335,0.421682737']"
['3131683'],"['46.857119345562786,-121.74035013991426']",[2000],"[UTCDateTime(2020, 6, 23, 14, 58, 59, 999997)]",[206.11579374120743],,[45.02781100593948],,[214.56563505871762],[207.732068511433],[33.659994],[5],"['0.100398546,0.544746566,0.066957839']"
['3128958'],"['46.18911760617305,-122.19203246958193']",[1000],"[UTCDateTime(2020, 6, 1, 6, 48, 32)]",[45.766760972315815],,[49.02287986859604],,[93.01829624914278],[47.153435771800545],[14.337499999999991],[8],"['0.40280831,2.09122244,0.321819924']"
['3129228'],"['46.216131073870066,-122.23086771400068']",[4000],"[UTCDateTime(2020, 5, 30, 23, 39, 25, 876294)]",[34.381757543122625],,[119.34131407793792],,[46.84526834166722],[57.50013319430368],[-0.6390786666666722],[6],"['0.576424667,1.222855212,0.499070311']"
['3129223'],"['46.866153712122305,-121.76655038235573']",[4000],"[UTCDateTime(2020, 5, 30, 21, 40, 57)]",[-385.2417018003624],,[76.75905670803935],,[-21.74270349288092],[-28.732076772527417],[11.749999999999996],[7],"['0.168500718,0.363636627,0.100441972']"
['3129218'],"['46.866114696666216,-121.74031949484284']",[1000],"[UTCDateTime(2020, 5, 30, 21, 27, 25, 1336)]",[52.068609435127755],,[181.1837507659889],,[52.06860943512782],[52.068609435127826],[13.077671999999986],[4],"['inf,inf,inf']"
['3129213'],"['46.875166317935495,-121.77964175088081']",[3000],"[UTCDateTime(2020, 5, 30, 21, 7, 8, 501336)]",[73.42002882640364],,[25.93533244058432],,[68.76938305489043],[73.77088673613758],[29.612671999999996],[5],"['0.092312174,0.826977677,0.069283302']"
['3129208'],"['46.875166317935495,-121.77964175088081']",[4000],"[UTCDateTime(2020, 5, 30, 16, 55, 29, 526336)]",[40.46565775492868],,[116.97538063652631],,[35.05131963488444],[45.113360465177216],[43.232671999999994],[5],"['0.377016433,0.565167886,0.232044684']"
['3130703'],"['46.84816297896432,-121.76660290551352']",[3000],"[UTCDateTime(2020, 6, 18, 3, 44, 32, 750000)]",[-205.68647270548934],,[45.48623065043266],,[160.09938452708542],[155.3620427177655],[15.309999999999992],[5],"['0.239547483,1.167405317,0.155268029']"
['3130733'],"['46.20708697341162,-122.1660873724145']",[4000],"[UTCDateTime(2020, 5, 30, 13, 29, 24)]",[62.3664677703733],,[140.2834877040803],,[82.52982533927721],[62.43050226586543],[10.893750000000008],[8],"['0.442486072,0.767546966,0.388246307']"
['3130618'],"['46.85709759162653,-121.72723690003168']",[3000],"[UTCDateTime(2020, 5, 30, 4, 44, 9, 450000)]",[99.95520664886327],,[94.41727651641824],,[97.24839597876039],[95.97636512391686],[30.374999999999986],[4],"['0.145265245,0.368730358,0.099138462']"
['3130538'],"['46.21611639592763,-122.20494795042616']",[2000],"[UTCDateTime(2020, 6, 17, 7, 49, 6, 375015)]",[150.37748352226976],,[79.65197436650006],,[-198.51105524775812],[148.48247010317522],[8.683363333333334],[9],"['0.173928881,0.647209749,0.138327471']"
['3130433'],"['46.866153712122305,-121.76655038235573']",[5000],"[UTCDateTime(2020, 6, 16, 5, 18, 43, 780000)]",[214.8308429924042],,[57.058446775582595],,[233.09135466989196],[214.52217821346233],[13.528749999999999],[8],"['0.33513491,1.360648646,0.227143043']"
['3130428'],"['46.84816297896432,-121.76660290551352']",[2000],"[UTCDateTime(2020, 6, 16, 4, 7, 20, 955000)]",[187.32472964822358],,[55.29655629985623],,[185.65422891948512],[187.19038997710737],[24.501666666666676],[6],"['0.131400513,0.396040745,0.068738448']"
['3130283'],"['46.857074337431285,-121.71412367109895']",[5000],"[UTCDateTime(2020, 6, 15, 16, 53, 51)]",[226.408526469703],,[19.393481083686495],,[234.94145130984882],[229.09862773014598],[35.828571428571436],[7],"['0.074113438,1.22867827,0.062631908']"
['3128583'],"['46.18015709185795,-122.28270726876059']",[8000],"[UTCDateTime(2020, 5, 27, 19, 44, 4, 855000)]",[79.9784998621407],,[-1164.3048727738822],,[79.32564506732662],[80.46063620982574],[0.8399999999999921],[5],"['29.829923427,0.054976034,29.289059786']"
['3130373'],"['46.84818022840977,-121.77971398589368']",[1000],"[UTCDateTime(2020, 6, 14, 17, 52, 19, 299000)]",[202.5820510515437],,[63.448878313313614],,[204.59089987239466],[203.87664171508231],[25.898000000000003],[5],"['0.121651546,0.343169128,0.073855137']"
